heading,bias_true,bias_pred
Chicago Gun Violence Spikes and Increasingly Finds the Youngest Victims,Left,Center
"‘Bullets just came from nowhere’: Fourth of July weekend gun violence kills at least 17, including 7-year-old-girl",Center,Center
Dozens of shootings across US mark bloody July 4th weekend,Right,Center
Federal Government Will Run Out of Cash on Oct. 18 If Debt Ceiling Isn’t Raised: Treasury Secretary,Right,Neutral
Yellen tells Congress that U.S. will run out of debt ceiling flexibility on Oct. 18,Left,Center
Yellen warns lawmakers U.S. Treasury to hit debt limit Oct. 18,Center,Center
Washed-Up Chris Christie Rips Into Hillary Clinton,Left,Right
"Christie convicts Clinton, but was he 'guilty' of going too far?",Right,Center
Anti-Clinton Republican National Convention Crowd Chants ‘Lock Her Up’,Left,Right
Biden admin to pharmacies: Refusing to fill contraception and abortion pill prescriptions could break federal law,Left,Center
"Pharmacies risk violating civil rights laws if they deny access to drugs that can be used for abortion, HHS says",Center,Center
HHS warns pharmacies denying abortion pills violates anti-discrimination law,Right,Left
'One American flag flies': Pence defends barring pride flags on U.S. embassy flagpoles,Left,Right
Mike Pence says banning pride flags at US embassies is 'the right decision',Left,Right
Pence confirms Trump administration denied US embassy requests to fly Pride flag,Right,Center
"Trump tweets mock video of himself tackling, punching CNN logo",Center,Right
"Trump Body Slams ""#FraudNewsCNN"" in His Latest Assault Tweet",Right,Right
Trump Marks Independence Day Weekend With Fantasy About Beating Up Journalists,Left,Left
President Obama to vow: No nuclear Iran,Left,Center
Obama urges UN to reject 'violence and intolerance' amid Mideast unrest,Right,Center
"'Time is not unlimited' on Iran, Obama to tell U.N.",Left,Neutral
"Biden says federal workers must be vaccinated or undergo regular testing, masks and social distancing",Right,Center
"Biden announces measures to incentivize Covid-19 vaccinations, including a requirement for federal employees",Left,Neutral
"Biden sets broad new vaccine, mask guidelines for millions of federal workers",Center,Center
Incoming Palestinian Harvard freshman has his visa REVOKED at Boston airport after he was 'questioned for five hours and officials found anti-US political social media posts by his friends',Right,Left
A Palestinian Freshman Arrived in the U.S. to Study at Harvard. Immigration Officials Revoked His Visa and Deported Him.,Left,Left
Harvard freshman deported after officials review friends' social media posts: report,Center,Neutral
Violence Escalates As Protests Over George Floyd Death Continue,Left,Center
Another night of fire and fury as protests rage across America,Left,Center
"Rioting, looting linked to George Floyd protests leaves trail of destruction across American cities",Right,Center
"Trump, campaign aides sent email accessing WikiLeaks documents: Report",Right,Center
Email shows effort to give Trump campaign WikiLeaks documents,Left,Center
Wikileaks sent Trump private access and a decryption key to emails weeks before they were released,Left,Left
‘Follow the money’: MSNBC contributor blows the lid off Trump’s personal stake in drug he’s pushing as COVID-19 cure,Left,Left
"Trump Has ‘Small,’ ‘Distant Link’ To Sanofi, French Drugmaker Of Hydroxychloroquine",Center,Center
Trump’s personal stake in the malaria-drug maker Sanofi could be as small as $99,Center,Neutral
"North Korea Denies Hack Involvement, Demands Probe",Right,Center
North Korea orders joint probe into Sony hacking,Left,Center
Obama Vows a Response to Cyberattack on Sony,Left,Neutral
Obama tells Ohioans he champions the middle,Right,Center
"Obama, Romney Duel On Economy In Ohio Where It Could All Be Decided Categories",Left,Neutral
"Dueling speeches: Obama, Romney target Ohio",Right,Center
"National Guard troops kicked out of Senate are back in Capitol following outrage from lawmakers, public",Center,Center
National Guard break time in Capitol-area parking garage gets lawmakers fuming,Right,Center
National Guard allowed back into Capitol complex after lawmakers erupt at banishment to parking garage,Left,Center
"After Pledging to Decriminalize Illegal Border Crossings, Harris Will Lead Border Crisis Response",Right,Center
Vice President Harris will oversee effort to resolve problems at U.S.-Mexico border,Center,Neutral
Biden assigning Harris to lead diplomatic efforts in Central America to address immigration,Left,Neutral
U.S. Inflation Hits New Four-Decade High of 9.1%,Center,Neutral
"US Inflation Quickens to 9.1%, Amping Up Fed Pressure to Go Big",Left,Center
"Inflation jumps to 9.1%, highest in four decades",Right,Neutral
"Rising Pace of Hiring Adds to Optimism, but Wages Lag",Left,Center
"US added 295,000 jobs in February as unemployment rate dips to 5.5 percent",Right,Center
"U.S. Adds Jobs at Steady Clip, but Wage Growth Remains Soft",Center,Center
China expands its amphibious forces in challenge to U.S. supremacy beyond Asia,Center,Center
"US Closes China's Houston Consulate, China Considers Wuhan Retaliation",Right,Center
US defense chief pushes allied effort to challenge China,Left,Center
Europe’s heatwave moves north as UK braces for hottest day on record,Left,Center
UK heatwave sees highest-ever temperatures recorded,Center,Center
UK braces for record-breaking temperatures as heatwave plunges Brits into chaos,Right,Neutral
Fact-checking President Trump’s news conference,Left,Center
Trump's marathon media-bashing presser: Did he go too far?,Right,Center
Trump -- under fire -- returns to the campaign,Left,Center
Barr Blasts His Own Prosecutors: 'All Power Is Vested In The Attorney General',Left,Right
Barr says calls for coronavirus lockdown are the 'greatest intrusion on civil liberties' other than slavery in US history,Left,Right
Barr says rumors Trump would refuse to leave office if he loses election are 'crap',Right,Center
Ukraine Refuses Russia’s Request to ‘Lay Down Arms’ and Surrender Mariupol by Monday Deadline,Right,Center
Ukraine rejects Russian demand for surrender in Mariupol,Left,Center
Ukraine rejects Kremlin’s call to surrender Mariupol amid intense street fighting,Left,Center
"As House GOP faces decision on its future, McConnell defends Cheney, rebukes Greene in rare set of statements",Left,Center
"McConnell takes sides: Marjorie Taylor Greene theories a 'cancer' for GOP, while Cheney has 'courage'",Right,Center
"Mitch McConnell condemns Marjorie Taylor Greene's 'loony lies,' defends Liz Cheney",Left,Center
Canadian parliament condemns Trump attacks on Trudeau,Center,Left
Trudeau’s Challenge: Managing Trump and Domestic Politics,Left,Center
Trump's attacks against Trudeau unanimously condemned by Canadian lawmakers,Right,Center
5 Takeaways From Obama's Susan Rice Appointment,Left,Neutral
The real reason Obama tapped Susan Rice for national security adviser,Right,Neutral
National security team shuffle may signal more activist stance at White House,Left,Center
"DHS memo warning of Russian efforts to denigrate Trump's, Biden's health dismissed as poor quality, officials say",Right,Center
DHS withheld July intelligence bulletin calling out Russian attack on Biden’s mental health,Left,Left
DHS withheld note warning of Russian attacks on Biden's mental health,Center,Left
Jan. 6 Committee Probes Trump Phone-Logs Gap,Center,Center
Jan. 6 committee probing 7.5 hour gap in White House phone logs,Right,Center
White House records turned over to House show 7-hour gap in Trump phone log on Jan. 6,Left,Center
Fact check: The ninth Republican debate,Left,Center
"Fireworks erupt between Trump and Bush, Rubio and Cruz at GOP debate",Right,Center
3 winners and 2 losers from Saturday night's Republican debate,Left,Center
Top US lawmakers strike deal to fast-track trade deals,Right,Center
Senators Introduce ‘Fast Track’ Trade Bill,Center,Neutral
Deal Reached on Fast-Track Authority for Obama on Trade Pact,Left,Neutral
"Kentucky flooding death toll reaches 15 and may double, governor says",Right,Center
Appalachian floods kill at least 15 as rescue teams deploy,Left,Center
"At least 15 people are dead after Kentucky's catastrophic flooding, and the death toll is expected to rise",Left,Neutral
Heavily Redacted Democratic Memo Counters GOP Account of Russia Probe,Left,Left
Democrats' new Russia memo is an anti-Trump political attack,Right,Right
Trump Claims Democrats’ Memo ‘Really Verifies’ GOP Memo,Left,Center
"As Trump Arrives in Israel, His Deal-Making Skills Face a Test",Left,Center
Trump lands in Israel: What to watch,Left,Center
Trump tells Israelis: Arab neighbors in ‘common cause with you’ against Iran,Right,Center
FDA Approves Remdesivir for Hospitalized COVID-19 Patients After Drug Was Used to Treat Trump,Center,Center
FDA approves antiviral drug remdesivir as coronavirus treatment,Right,Center
FDA approves remdesivir as treatment for COVID-19 patients in hospital,Left,Center
Obama feels ‘small’ compared with members of the U.S. Marines,Right,Neutral
Obama to service members: We never take you for granted,Left,Center
President Obama Honors Military Families In Christmas Address,Left,Center
Michigan Orders Faith-Based Adoption Agencies to Violate Their Religious Beliefs,Right,Left
Michigan deal bars LGBTQ discrimination in state adoptions,Left,Center
Michigan will no longer fund adoption agencies that refuse gay parents,Center,Left
Officer charged with murder after shooting man in back: What we know,Left,Center
White SC officer charged with murder in shooting death of black man,Right,Center
Video Shows Officer Michael Slager Shooting Unarmed Black Man In The Back In South Carolina,Left,Left
Time magazine names Pope Francis its 'Person of the Year',Left,Neutral
"Pope Francis Is Person Of The Year, 'Time' Says",Left,Neutral
"Pope Francis' common touch, uncommon influence",Right,Center
Supreme Court won't hear Trump bid to end DACA program,Left,Center
"In major win for immigrant youth, SCOTUS denies Trump request to take up DACA case By Gabe Ortiz Monday Feb 26, 2018 · 10:07",Left,Left
Supreme Court rejects administration appeal over DACA,Right,Center
Biden’s ‘Armageddon’ talk edges beyond bounds of US intel,Left,Center
Pompeo rips Biden's 'reckless' Armageddon remark: 'One of the greatest foreign policy failures',Right,Right
Kirby: Biden ‘Armageddon’ remark reflects ‘the very high stakes that are in play’,Center,Center
"Trump’s “election integrity” commission wants every voter’s name, party ID, and address",Left,Left
More than half the states refusing to provide voter data to Trump election panel,Center,Center
Liberal States Get Jittery as Trump Looks to Clamp Down on Voter Fraud,Right,Left
Madeleine Westerhout: White House aide fired after leaks on Trump family,Center,Neutral
Trump's 'gatekeeper' resigns abruptly,Right,Neutral
Trump's personal assistant abruptly exits White House after sharing details about President's family,Left,Neutral
Florida GOP Wants to Ban Making White People Feel ‘Discomfort’ About Racism,Left,Right
Florida could shield whites from ‘discomfort’ of racist past,Left,Right
What the Florida CRT Bill Actually Says,Right,Center
"White House says Biden will increase refugee cap this year, after Dem fury over original target",Right,Center
"After criticism, Biden says he will raise U.S. cap on refugee admissions",Center,Neutral
"After outcry, Biden plans to lift refugee cap in May",Left,Center
Hirono: Anti-Asian hate bill chance for Senate to 'take a stand',Left,Center
Senate moves toward bipartisan endgame on AAPI hate crimes legislation,Center,Center
Senate advances measure to curb anti-Asian American hate crimes,Right,Center
Iran nuclear deal: Trump pulls US out in break with Europe allies,Center,Center
"Trump withdraws from Iran nuclear deal, isolating him further from world",Left,Center
The Day The Iran Deal Died,Right,Center
Trump's base-focused midterm approach tested in Ohio and Kansas races Tuesday,Left,Center
Trump faces political test in Ohio as five states cast votes,Center,Center
"Tuesday's primaries a test of Trump's influence, hold potential for upsets: A look at the races to watch",Right,Center
"Istanbul airport reopens after terror attack leaves 41 dead, 239 injured",Right,Center
"Istanbul airport resumes flights amid blood, shattered glass",Left,Center
Istanbul Airport Attack Leaves at Least 41 Dead,Left,Center
Bernie Sanders secures five minutes with Pope Francis,Left,Neutral
"Sanders’ Visit With Pope Francis Confirmed, Implications of Vatican Trip Could Win Him New York",Right,Neutral
Bernie Sanders says private Meeting with Pope Francis is not an endorsement,Left,Neutral
OPINION: Iowa: Revenge of the outsiders,Center,Center
OPINION: Marco Rubio and Bernie Sanders were the real winners in Iowa,Left,Center
OPINION: Trump fever has broken. Cruz out-organized him. Here's what's next,Right,Center
America's economic recovery hits a major roadblock,Left,Center
"Delta variant, shortages severely restrict U.S. economic growth in third quarter",Center,Neutral
Economic Growth Slows to 2 Percent on Slowdown in Consumer Spending and COVID-19 Impacts,Right,Center
"10 Senate Republicans Outline $600B Counteroffer, Will Meet With Biden Monday",Left,Neutral
"Biden, GOP senators to discuss slimmed-down Covid relief bill pitch",Left,Neutral
GOP senators to meet Biden Monday on coronavirus relief as Dems ready to pass bill without Republican support,Right,Left
Federal agency recommends Kellyanne Conway be fired from White House,Left,Left
Government watchdog: Trump aide Conway should be fired for political comments,Center,Center|Left
Office of Special Counsel Formally Requests Kellyanne Be Relieved of Her Duties,Right,Center
"Trump warns post-hurricane Puerto Rico, says FEMA won’t stay 'forever'",Right,Neutral
Trump loses patience with Puerto Rico,Center,Neutral
Trump threatens to abandon Puerto Rico recovery effort,Left,Center
"If the media speaks with one voice, Trump will have to listen",Left,Center
Commentary: Newspapers don't help themselves by coordinating against Trump,Right,Center
US newspapers to Trump: We’re not enemies of the people,Left,Center
Miami building collapse: Remaining section of Surfside tower is demolished with explosives,Left,Neutral
Search back on after rest of South Florida condo demolished,Left,Center
Search crews return after Surfside condo building's standing portion brought down with explosives,Right,Center
Pelosi stumbles on alleged harassment in her own ranks,Left,Center
John Conyers Steps Down From Judiciary Committee Role Amid Sexual Misconduct Claims,Left,Neutral
Pelosi faces backlash for questioning Conyers accusers,Right,Center
Dems Unveil 2021 Agenda to Tackle Climate Change as Wildfires Rage on West Coast,Right,Left
